Algorithm,Parameter,Time (s),RMSE
privacy-aware,alpha=0.1,2.9899 ± 0.2522,0.597026 ± 0.004707
privacy-aware,alpha=0.5,2.9997 ± 0.1682,0.604765 ± 0.011081
privacy-aware,alpha=0.9,2.9861 ± 0.1209,0.599268 ± 0.010106
dp-cloaking,epsilon=0.3,25.5929 ± 0.9620,2.763980 ± 1.341534
dp-cloaking,epsilon=0.5,25.6472 ± 0.9623,1.714787 ± 0.750033
dp-cloaking,epsilon=1.0,25.5352 ± 0.6866,1.017836 ± 0.320011
exclude,N/A,1.4941 ± 0.0478,0.599149 ± 0.000517
attack,alpha=0.1,1.5530 ± 0.0769,0.596827 ± 0.005325
attack,alpha=0.5,1.5544 ± 0.0741,0.638930 ± 0.032837
attack,alpha=0.9,1.5426 ± 0.0671,0.980737 ± 0.230931
,,,
=== AVERAGE METRICS ACROSS SEEDS ===,,,
privacy-aware,alpha=0.1,2.9899 ± 0.0000,0.597026 ± 0.000000
privacy-aware,alpha=0.5,2.9997 ± 0.0000,0.604765 ± 0.000000
privacy-aware,alpha=0.9,2.9861 ± 0.0000,0.599268 ± 0.000000
dp-cloaking,epsilon=0.3,25.5929 ± 0.0000,2.763980 ± 0.000000
dp-cloaking,epsilon=0.5,25.6472 ± 0.0000,1.714787 ± 0.000000
dp-cloaking,epsilon=1.0,25.5352 ± 0.0000,1.017836 ± 0.000000
exclude,N/A,1.4941 ± 0.0000,0.599149 ± 0.000000
attack,alpha=0.1,1.5530 ± 0.0000,0.596827 ± 0.000000
attack,alpha=0.5,1.5544 ± 0.0000,0.638930 ± 0.000000
attack,alpha=0.9,1.5426 ± 0.0000,0.980737 ± 0.000000
