Algorithm,Parameter,Component,Time (s),RMSE
privacy-aware,alpha=0.1,Component 0,0.0172 ± 0.0534,0.000048 ± 0.000037
privacy-aware,alpha=0.1,Component 1,0.0042 ± 0.0000,0.000348 ± 0.000279
privacy-aware,alpha=0.1,Component 2,0.0100 ± 0.0026,0.763929 ± 0.254983
privacy-aware,alpha=0.1,Component 3,0.0043 ± 0.0004,0.000554 ± 0.000439
privacy-aware,alpha=0.5,Component 0,0.0045 ± 0.0004,0.000083 ± 0.000070
privacy-aware,alpha=0.5,Component 1,0.0080 ± 0.0158,0.000560 ± 0.000465
privacy-aware,alpha=0.5,Component 2,0.0119 ± 0.0007,1.576380 ± 0.287823
privacy-aware,alpha=0.5,Component 3,0.0043 ± 0.0001,0.001067 ± 0.000780
privacy-aware,alpha=0.9,Component 0,0.0045 ± 0.0003,0.000074 ± 0.000052
privacy-aware,alpha=0.9,Component 1,0.0044 ± 0.0001,0.000496 ± 0.000361
privacy-aware,alpha=0.9,Component 2,0.0145 ± 0.0118,1.336169 ± 0.202000
privacy-aware,alpha=0.9,Component 3,0.0044 ± 0.0002,0.000554 ± 0.000324
dp-cloaking,epsilon=0.3,Component 0,0.4448 ± 0.0045,0.000307 ± 0.000040
dp-cloaking,epsilon=0.3,Component 1,0.4466 ± 0.0071,0.002185 ± 0.000288
dp-cloaking,epsilon=0.3,Component 2,0.4436 ± 0.0033,3.545108 ± 0.467884
dp-cloaking,epsilon=0.3,Component 3,0.4438 ± 0.0023,0.003494 ± 0.000461
dp-cloaking,epsilon=0.5,Component 0,0.4445 ± 0.0028,0.000184 ± 0.000024
dp-cloaking,epsilon=0.5,Component 1,0.4458 ± 0.0044,0.001311 ± 0.000173
dp-cloaking,epsilon=0.5,Component 2,0.4432 ± 0.0028,2.127065 ± 0.280731
dp-cloaking,epsilon=0.5,Component 3,0.4430 ± 0.0026,0.002096 ± 0.000277
dp-cloaking,epsilon=1,Component 0,0.4462 ± 0.0074,0.000092 ± 0.000012
dp-cloaking,epsilon=1,Component 1,0.4452 ± 0.0049,0.000656 ± 0.000087
dp-cloaking,epsilon=1,Component 2,0.4429 ± 0.0020,1.063533 ± 0.140365
dp-cloaking,epsilon=1,Component 3,0.4424 ± 0.0032,0.001048 ± 0.000138
exclude,N/A,Component 0,0.0029 ± 0.0001,0.000290 ± 0.000000
exclude,N/A,Component 1,0.0030 ± 0.0001,0.001970 ± 0.000000
exclude,N/A,Component 2,0.0031 ± 0.0006,1.117435 ± 0.000000
exclude,N/A,Component 3,0.0030 ± 0.0001,0.003199 ± 0.000000
attack,alpha=0.1,Component 0,0.0573 ± 0.0532,0.000123 ± 0.000006
attack,alpha=0.1,Component 1,0.0451 ± 0.0023,0.001535 ± 0.000025
attack,alpha=0.1,Component 2,0.0446 ± 0.0007,0.262526 ± 0.195501
attack,alpha=0.1,Component 3,0.0443 ± 0.0014,0.001073 ± 0.000079
attack,alpha=0.5,Component 0,0.0448 ± 0.0009,0.000149 ± 0.000053
attack,alpha=0.5,Component 1,0.0442 ± 0.0009,0.001665 ± 0.000291
attack,alpha=0.5,Component 2,0.0444 ± 0.0007,1.303963 ± 0.500640
attack,alpha=0.5,Component 3,0.0441 ± 0.0009,0.001464 ± 0.000662
attack,alpha=0.9,Component 0,0.0440 ± 0.0007,0.000264 ± 0.000210
attack,alpha=0.9,Component 1,0.0442 ± 0.0006,0.002348 ± 0.001316
attack,alpha=0.9,Component 2,0.0443 ± 0.0007,4.159171 ± 1.407942
attack,alpha=0.9,Component 3,0.0441 ± 0.0005,0.002843 ± 0.002467
,,,,
=== AVERAGES ACROSS SEEDS AND COMPONENTS ===,,,,
privacy-aware,alpha=0.1,AVERAGE,0.0090 ± 0.0053,0.191220 ± 0.330654
privacy-aware,alpha=0.5,AVERAGE,0.0072 ± 0.0031,0.394523 ± 0.682346
privacy-aware,alpha=0.9,AVERAGE,0.0070 ± 0.0044,0.334323 ± 0.578416
dp-cloaking,epsilon=0.3,AVERAGE,0.4447 ± 0.0012,0.887773 ± 1.534213
dp-cloaking,epsilon=0.5,AVERAGE,0.4441 ± 0.0011,0.532664 ± 0.920528
dp-cloaking,epsilon=1,AVERAGE,0.4442 ± 0.0016,0.266332 ± 0.460264
exclude,N/A,AVERAGE,0.0030 ± 0.0000,0.280723 ± 0.483077
attack,alpha=0.1,AVERAGE,0.0478 ± 0.0055,0.066314 ± 0.113284
attack,alpha=0.5,AVERAGE,0.0444 ± 0.0003,0.326810 ± 0.564160
attack,alpha=0.9,AVERAGE,0.0442 ± 0.0001,1.041157 ± 1.800187
