Algorithm,Parameter,Component,Time (s),RMSE
privacy-aware,alpha=0.1,Component 0,0.1764 ± 0.0000,0.073559 ± 0.000000
privacy-aware,alpha=0.1,Component 1,0.0045 ± 0.0000,0.000714 ± 0.000000
privacy-aware,alpha=0.1,Component 2,0.0147 ± 0.0000,2.099577 ± 0.000000
privacy-aware,alpha=0.1,Component 3,0.0115 ± 0.0000,1.204028 ± 0.000000
privacy-aware,alpha=0.5,Component 0,0.0045 ± 0.0000,0.081963 ± 0.000000
privacy-aware,alpha=0.5,Component 1,0.0040 ± 0.0000,0.001642 ± 0.000000
privacy-aware,alpha=0.5,Component 2,0.0143 ± 0.0000,4.424456 ± 0.000000
privacy-aware,alpha=0.5,Component 3,0.0119 ± 0.0000,2.102607 ± 0.000000
privacy-aware,alpha=0.9,Component 0,0.0042 ± 0.0000,0.272128 ± 0.000000
privacy-aware,alpha=0.9,Component 1,0.0041 ± 0.0000,0.001392 ± 0.000000
privacy-aware,alpha=0.9,Component 2,0.0137 ± 0.0000,5.519283 ± 0.000000
privacy-aware,alpha=0.9,Component 3,0.0111 ± 0.0000,3.272481 ± 0.000000
exclude,N/A,Component 0,0.0030 ± 0.0000,0.000290 ± 0.000000
exclude,N/A,Component 1,0.0030 ± 0.0000,0.001970 ± 0.000000
exclude,N/A,Component 2,0.0030 ± 0.0000,1.117435 ± 0.000000
exclude,N/A,Component 3,0.0030 ± 0.0000,0.003199 ± 0.000000
attack,alpha=0.1,Component 0,0.2477 ± 0.0000,0.033602 ± 0.000000
attack,alpha=0.1,Component 1,0.0431 ± 0.0000,0.001603 ± 0.000000
attack,alpha=0.1,Component 2,0.0461 ± 0.0000,0.119216 ± 0.000000
attack,alpha=0.1,Component 3,0.0435 ± 0.0000,0.613918 ± 0.000000
attack,alpha=0.5,Component 0,0.0444 ± 0.0000,0.141534 ± 0.000000
attack,alpha=0.5,Component 1,0.0447 ± 0.0000,0.002424 ± 0.000000
attack,alpha=0.5,Component 2,0.0519 ± 0.0000,2.427329 ± 0.000000
attack,alpha=0.5,Component 3,0.0439 ± 0.0000,2.292572 ± 0.000000
attack,alpha=0.9,Component 0,0.0437 ± 0.0000,0.424596 ± 0.000000
attack,alpha=0.9,Component 1,0.0495 ± 0.0000,0.005529 ± 0.000000
attack,alpha=0.9,Component 2,0.0445 ± 0.0000,8.021787 ± 0.000000
attack,alpha=0.9,Component 3,0.0442 ± 0.0000,5.108361 ± 0.000000
,,,,
=== AVERAGES ACROSS SEEDS AND COMPONENTS ===,,,,
privacy-aware,alpha=0.1,AVERAGE,0.0518 ± 0.0720,0.844470 ± 0.867583
privacy-aware,alpha=0.5,AVERAGE,0.0087 ± 0.0045,1.652667 ± 1.808193
privacy-aware,alpha=0.9,AVERAGE,0.0083 ± 0.0042,2.266321 ± 2.274908
exclude,N/A,AVERAGE,0.0030 ± 0.0000,0.280723 ± 0.483077
attack,alpha=0.1,AVERAGE,0.0951 ± 0.0881,0.192085 ± 0.247312
attack,alpha=0.5,AVERAGE,0.0462 ± 0.0033,1.215965 ± 1.146033
attack,alpha=0.9,AVERAGE,0.0455 ± 0.0023,3.390068 ± 3.341200
